epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.963,2.52008,6.28135,2.48694,0.00789,0.28571,0.04873,0.02755,1.83796,4.7424,2.05288,7.14e-06,7.14e-06,7.14e-06
2,25.2104,2.30377,5.72678,2.28801,0.0106,0.28571,0.06416,0.03735,1.80259,4.75368,2.05881,1.75555e-05,1.75555e-05,1.75555e-05
3,26.6286,2.29559,5.91899,2.29252,0.0073,0.28571,0.09112,0.05225,1.73799,4.32909,1.95369,2.76175e-05,2.76175e-05,2.76175e-05
4,28.0879,1.99663,5.03879,1.97029,0.05087,0.71429,0.17682,0.09107,1.60117,3.777,1.79443,3.73261e-05,3.73261e-05,3.73261e-05
5,29.538,2.05985,5.07241,2.0689,0.05888,1,0.28802,0.15508,1.43633,3.59595,1.61357,4.66813e-05,4.66813e-05,4.66813e-05
6,31.3612,1.86983,4.1629,1.73417,0.4383,0.31689,0.40288,0.19981,1.34689,3.49986,1.46935,5.56831e-05,5.56831e-05,5.56831e-05
7,33.3762,1.5697,3.80274,1.53865,0.67512,0.42857,0.56314,0.4133,1.22756,3.48599,1.38873,6.43314e-05,6.43314e-05,6.43314e-05
8,34.9558,1.56541,3.42455,1.51526,0.51383,0.55222,0.59011,0.41958,1.18011,3.4532,1.3625,7.26263e-05,7.26263e-05,7.26263e-05
9,36.376,1.46801,2.91225,1.4047,0.43226,0.71429,0.64553,0.43824,1.30082,3.8274,1.32662,8.05678e-05,8.05678e-05,8.05678e-05
10,37.8654,1.41043,2.84732,1.32299,0.44527,0.71429,0.71857,0.47536,1.29165,4.22378,1.31633,8.81558e-05,8.81558e-05,8.81558e-05
11,39.3409,1.39175,2.5325,1.34931,0.4475,0.69055,0.60411,0.45841,1.14957,4.60595,1.26042,9.53904e-05,9.53904e-05,9.53904e-05
12,40.7216,1.41242,2.38769,1.36439,0.66743,0.57143,0.60411,0.46907,1.12063,4.70129,1.24877,0.000102272,0.000102272,0.000102272
13,42.1817,1.25737,2.17273,1.23988,0.74567,0.57143,0.60411,0.48289,1.1575,4.65504,1.28198,0.000108799,0.000108799,0.000108799
14,43.9179,1.30094,2.0914,1.24391,0.72192,0.57143,0.60411,0.47973,1.19629,4.41251,1.30288,0.000114974,0.000114974,0.000114974
15,45.9888,1.33986,2.19519,1.30875,0.72149,0.70333,0.63964,0.49039,1.21898,3.89963,1.32659,0.000120795,0.000120795,0.000120795
16,47.6038,1.24568,1.81988,1.29937,0.76167,0.71429,0.64935,0.46973,1.20073,3.58548,1.33448,0.000126262,0.000126262,0.000126262
17,49.133,1.21545,1.70609,1.21362,0.86649,0.71429,0.73595,0.53503,1.20405,2.73155,1.36729,0.000131376,0.000131376,0.000131376
18,50.6248,1.13944,1.60764,1.16566,0.89446,0.71429,0.76539,0.57077,1.21061,2.41046,1.37081,0.000136137,0.000136137,0.000136137
19,52.0334,1.10495,1.66629,1.20962,0.85598,0.71429,0.73899,0.52347,1.22242,2.19871,1.37867,0.000140544,0.000140544,0.000140544
20,53.3979,1.2503,1.63457,1.25978,0.77149,0.71429,0.75712,0.51766,1.26075,2.03205,1.37753,0.000144597,0.000144597,0.000144597
21,54.9404,1.08226,1.48909,1.14694,0.74209,0.71429,0.76583,0.51949,1.27569,1.98533,1.38663,0.000148298,0.000148298,0.000148298
22,56.5819,1.13189,1.46851,1.18159,0.75922,0.71429,0.81032,0.54946,1.27725,1.94958,1.37893,0.000151645,0.000151645,0.000151645
23,58.7372,1.15607,1.46156,1.18752,0.7838,0.71429,0.81131,0.59267,1.25045,1.94374,1.38296,0.000154638,0.000154638,0.000154638
24,60.3421,1.10639,1.44969,1.14674,0.71042,0.71429,0.7405,0.56572,1.23063,1.9496,1.38493,0.000157278,0.000157278,0.000157278
25,61.8061,1.03855,1.29464,1.11298,0.92942,0.57143,0.74296,0.55692,1.21957,1.95082,1.39046,0.000159565,0.000159565,0.000159565
26,63.388,1.09438,1.29126,1.13893,0.95476,0.57143,0.81282,0.59911,1.24437,1.89655,1.41234,0.000161498,0.000161498,0.000161498
27,64.9393,1.01098,1.14238,1.06306,0.93897,0.57143,0.8698,0.61843,1.28514,1.83041,1.46909,0.000163078,0.000163078,0.000163078
28,66.5937,1.04672,1.19969,1.10822,0.90979,0.57143,0.8703,0.60483,1.32221,1.84191,1.4705,0.000164304,0.000164304,0.000164304
29,67.9177,0.99186,1.25205,1.09276,0.90979,0.57143,0.8703,0.60483,1.32221,1.84191,1.4705,0.000165177,0.000165177,0.000165177
30,69.6453,1.03326,1.20907,1.15273,0.57736,0.85714,0.88796,0.60241,1.32401,1.73484,1.44386,0.000165696,0.000165696,0.000165696
31,71.6248,0.95783,1.01942,1.07505,0.80771,0.71429,0.88051,0.59867,1.3072,1.68754,1.44992,0.000165862,0.000165862,0.000165862
32,73.1103,0.90374,1.12151,1.07166,0.87094,0.71429,0.87461,0.624,1.26221,1.70569,1.45624,0.000165675,0.000165675,0.000165675
33,74.5947,1.0804,1.22294,1.13983,0.87094,0.71429,0.87461,0.624,1.26221,1.70569,1.45624,0.000165134,0.000165134,0.000165134
34,76.1549,1.0021,1.07779,1.13344,0.89161,0.71429,0.87348,0.60759,1.23032,1.74359,1.42303,0.000162613,0.000162613,0.000162613
35,77.6125,1.01693,1.11677,1.13466,0.88748,0.71429,0.87287,0.61976,1.14943,1.7934,1.35571,0.000156723,0.000156723,0.000156723
36,79.0178,0.95939,0.99942,1.04545,0.88129,0.71429,0.89013,0.64079,1.13279,1.79691,1.32906,0.000150833,0.000150833,0.000150833
37,80.422,0.92479,0.99514,1.04897,0.88129,0.71429,0.89013,0.64079,1.13279,1.79691,1.32906,0.000144942,0.000144942,0.000144942
38,82.3564,0.89488,1.02949,1.06175,0.88003,0.71429,0.88977,0.65476,1.1492,1.77201,1.31771,0.000139051,0.000139051,0.000139051
39,84.4711,0.89348,1.00774,1.06012,0.8619,0.71429,0.8901,0.64441,1.18063,1.74256,1.32689,0.000133161,0.000133161,0.000133161
40,85.9755,0.91884,1.04294,1.08909,0.65226,0.85714,0.9024,0.66582,1.18858,1.65461,1.34455,0.000127271,0.000127271,0.000127271
41,87.4726,0.89457,0.91429,1.0506,0.65226,0.85714,0.9024,0.66582,1.18858,1.65461,1.34455,0.00012138,0.00012138,0.00012138
42,89.0879,0.83452,0.91796,1.05112,0.65963,0.85714,0.90263,0.66595,1.19353,1.65055,1.33444,0.000115489,0.000115489,0.000115489
43,90.5031,0.84066,0.90027,1.03927,0.65947,0.85714,0.84371,0.6021,1.19079,1.67919,1.32158,0.000109599,0.000109599,0.000109599
44,92.0147,0.94716,1.01445,1.04133,0.68406,0.85714,0.83849,0.6132,1.17719,1.67141,1.30855,0.000103708,0.000103708,0.000103708
45,93.3856,0.8294,0.93748,1.02215,0.68406,0.85714,0.83849,0.6132,1.17719,1.67141,1.30855,9.7818e-05,9.7818e-05,9.7818e-05
46,95.2939,0.78899,0.89741,1.01691,0.70188,0.85714,0.82911,0.62256,1.1596,1.662,1.30924,9.19275e-05,9.19275e-05,9.19275e-05
47,97.399,0.90007,0.94022,1.05121,0.71463,0.85714,0.82884,0.61764,1.15764,1.68081,1.33188,8.6037e-05,8.6037e-05,8.6037e-05
48,99.1125,0.85208,0.91727,1.0172,0.71774,0.85714,0.82939,0.61846,1.15686,1.73262,1.34305,8.01465e-05,8.01465e-05,8.01465e-05
49,100.524,0.87589,0.90781,1.06635,0.71774,0.85714,0.82939,0.61846,1.15686,1.73262,1.34305,7.4256e-05,7.4256e-05,7.4256e-05
50,101.953,0.87179,0.84293,1.03406,0.72178,0.85714,0.82974,0.61838,1.17728,1.6976,1.36122,6.83655e-05,6.83655e-05,6.83655e-05
51,105.766,0.82057,1.08016,1.13065,0.70359,0.85714,0.83429,0.6063,1.19584,1.68827,1.38222,6.2475e-05,6.2475e-05,6.2475e-05
52,108.685,0.7199,1.0407,0.98515,0.6686,0.85714,0.84819,0.5996,1.20315,1.706,1.4101,5.65845e-05,5.65845e-05,5.65845e-05
53,111.144,0.72525,0.95394,1.03715,0.6686,0.85714,0.84819,0.5996,1.20315,1.706,1.4101,5.0694e-05,5.0694e-05,5.0694e-05
54,112.567,0.76481,1.02644,1.01466,0.87299,0.71429,0.84076,0.59185,1.19577,1.76392,1.42678,4.48035e-05,4.48035e-05,4.48035e-05
55,113.912,0.6977,0.98868,1.0118,0.88007,0.71429,0.8467,0.59303,1.20658,1.75122,1.45736,3.8913e-05,3.8913e-05,3.8913e-05
56,115.268,0.7661,1.03995,0.93587,0.88191,0.71429,0.8501,0.59596,1.21521,1.76103,1.47416,3.30225e-05,3.30225e-05,3.30225e-05
57,116.698,0.71903,0.91544,1.00533,0.88191,0.71429,0.8501,0.59596,1.21521,1.76103,1.47416,2.7132e-05,2.7132e-05,2.7132e-05
58,118.122,0.67893,0.96074,0.96868,0.88203,0.71429,0.85302,0.58398,1.21172,1.76134,1.46319,2.12415e-05,2.12415e-05,2.12415e-05
59,119.553,0.66174,0.96139,0.94374,0.88457,0.71429,0.85902,0.60116,1.20876,1.75988,1.45574,1.5351e-05,1.5351e-05,1.5351e-05
60,121.304,0.65214,0.97021,1.03794,0.88643,0.71429,0.85905,0.59167,1.21066,1.76421,1.44495,9.4605e-06,9.4605e-06,9.4605e-06
